Timestamp,Position_X,Position_Y,Position_Z,Camera_ID,Trial_ID,Modus,Target_ID
198,0.055925685714285744,1.231422400000001,-0.03425728571428573,merged,1,Free,1
199,0.06043442857142861,1.2254494285714292,-0.033516171428571453,merged,1,Free,1
200,0.07033805714285718,1.2148957714285722,-0.035026142857142874,merged,1,Free,1
201,0.0797878571428572,1.2064176000000009,-0.03722482857142859,merged,1,Free,1
202,0.0912317428571429,1.2001573142857151,-0.03890788571428574,merged,1,Free,1
203,0.09936880000000006,1.199219000000001,-0.04537360000000002,merged,1,Free,1
204,0.11589468571428577,1.1970631714285722,-0.04501651428571431,merged,1,Free,1
205,0.1329082000000001,1.1949788285714293,-0.04000560000000003,merged,1,Free,1
206,0.14602091428571437,1.1921234285714293,-0.03266860000000002,merged,1,Free,1
207,0.14996354285714297,1.1922517714285723,-0.03224822857142859,merged,1,Free,1
208,0.15343434285714294,1.194716971428572,-0.02984905714285716,merged,1,Free,1
209,0.15712077142857153,1.195919371428572,-0.0280877142857143,merged,1,Free,1
210,0.16046202857142866,1.196446114285715,-0.024766657142857158,merged,1,Free,1
211,0.16201311428571438,1.1978237428571434,-0.021389885714285725,merged,1,Free,1
212,0.1657388857142858,1.1982140571428577,-0.017767628571428586,merged,1,Free,1
213,0.1689097714285715,1.1982661428571435,-0.015985742857142868,merged,1,Free,1
214,0.1708218000000001,1.196529314285715,-0.015396114285714295,merged,1,Free,1
215,0.17153457142857154,1.1940979714285722,-0.015023314285714295,merged,1,Free,1
216,0.17262191428571438,1.1926264285714292,-0.014063371428571437,merged,1,Free,1
217,0.17423917142857154,1.1950063714285721,-0.013600000000000008,merged,1,Free,1
218,0.17584897142857153,1.1952780857142864,-0.014102142857142867,merged,1,Free,1
219,0.17734325714285726,1.195734257142858,-0.01510040000000001,merged,1,Free,1
220,0.17752082857142848,1.1949518285714285,-0.0160014,merged,1,Free,1
221,0.17836804285714272,1.1947830428571424,-0.015900400000000006,merged,1,Free,1
